Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25489625,Between the World and Me,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""""","=""""",0,4.40,Spiegel & Grau,Hardcover,152,2015,2015,,2021/09/27,to-read,to-read (#66),to-read,,,,0,0
33652490,Men Without Women,Haruki Murakami,"Murakami, Haruki","Phillip Gabriel, Ted Goossen","=""0385689454""","=""9780385689458""",0,3.76,Bond Street Books,Kindle Edition,242,2017,2014,2021/09/27,2021/07/31,,,read,,,,1,0
10335318,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",Candice Millard,"Millard, Candice",,"=""0385526261""","=""9780385526265""",0,4.20,Doubleday,Hardcover,339,2011,2011,,2021/09/13,to-read,to-read (#65),to-read,,,,0,0
38357895,Convenience Store Woman,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""""","=""""",0,3.69,Portobello Books,Paperback,163,2018,2016,,2021/09/13,to-read,to-read (#64),to-read,,,,0,0
51152447,Caste: The Origins of Our Discontents,Isabel Wilkerson,"Wilkerson, Isabel",,"=""0593230256""","=""9780593230251""",0,4.53,Random House,Hardcover,544,2020,2020,,2021/08/23,to-read,to-read (#63),to-read,,,,0,0
54814676,Crying in H Mart,Michelle Zauner,"Zauner, Michelle",,"=""0525657746""","=""9780525657743""",0,4.27,Knopf,Hardcover,256,2021,2021,,2021/08/23,to-read,to-read (#62),to-read,,,,0,0
43848929,Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316478520""","=""9780316478526""",0,4.02,"Little, Brown and Company",Hardcover,388,2019,2019,,2021/08/23,to-read,to-read (#61),to-read,,,,0,0
4214,Life of Pi,Yann Martel,"Martel, Yann",,"=""0770430074""","=""9780770430078""",0,3.93,Seal Books,Paperback,460,2006,2001,,2021/08/20,to-read,to-read (#60),to-read,,,,0,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,4.50,Scholastic Inc.,Paperback,912,2004,2003,,2021/08/20,to-read,to-read (#59),to-read,,,,0,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.58,Scholastic Inc,Paperback,652,2006,2005,,2021/08/20,to-read,to-read (#58),to-read,,,,0,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,2021/08/20,to-read,to-read (#57),to-read,,,,0,0
4588,Extremely Loud & Incredibly Close,Jonathan Safran Foer,"Foer, Jonathan Safran",,"=""0618711651""","=""9780618711659""",0,3.97,Mariner Books Classics,Paperback,326,2006,2005,,2021/08/20,to-read,to-read (#56),to-read,,,,0,0
41825371,"86—EIGHTY-SIX, Vol. 1",Asato Asato,"Asato, Asato",Shirabi,"=""1975303121""","=""9781975303129""",0,4.53,Yen On,Paperback,264,2019,2017,,2021/07/18,to-read,to-read (#55),to-read,,,,0,0
34397551,The Chickenshit Club: Why the Justice Department Fails to Prosecute Executives,Jesse Eisinger,"Eisinger, Jesse",,"=""1501121367""","=""9781501121364""",0,3.80,Simon & Schuster,Hardcover,400,2017,2017,,2021/07/19,to-read,to-read (#54),to-read,,,,0,0
15887153,Satellite Basics for Everyone: An Illustrated Guide to Satellites for Non-Technical and Technical People,C. Robert Welti,"Welti, C. Robert",,"=""147592593X""","=""9781475925937""",0,3.49,iUniverse,Paperback,148,2012,2012,,2021/08/13,to-read,to-read (#53),to-read,,,,0,0
53402132,Liftoff: Elon Musk and the Desperate Early Days That Launched SpaceX,Eric  Berger,"Berger, Eric",,"=""0062979973""","=""9780062979971""",0,4.48,William Morrow,Hardcover,288,2021,2021,,2021/08/12,to-read,to-read (#52),to-read,,,,0,0
57936,Seven Pillars of Wisdom: A Triumph,T.E. Lawrence,"Lawrence, T.E.",,"=""0385418957""","=""9780385418959""",0,3.89,Anchor,Paperback,784,1991,1926,,2021/08/02,to-read,to-read (#51),to-read,,,,0,0
31948742,Born a Crime: Stories from a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""""","=""""",0,4.49,One World,Kindle Edition,264,2016,2016,,2021/08/02,to-read,to-read (#50),to-read,,,,0,0
38746485,Becoming,Michelle Obama,"Obama, Michelle",,"=""""","=""""",0,4.46,Crown,Hardcover,426,2018,2018,,2021/08/02,to-read,to-read (#49),to-read,,,,0,0
40265832,How to Be an Antiracist,Ibram X. Kendi,"Kendi, Ibram X.",,"=""0525509283""","=""9780525509288""",0,4.38,One World,Hardcover,305,2019,2019,,2021/08/02,to-read,to-read (#48),to-read,,,,0,0
40603587,"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,"Sapkowski, Andrzej",Danusia Stok,"=""""","=""""",0,4.14,Orbit,Kindle Edition,400,2008,1993,,2021/07/18,to-read,to-read (#47),to-read,,,,0,0
41022133,Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,"Murakami, Haruki",,"=""""","=""""",0,3.87,Vintage Books,Kindle Edition,308,2014,2013,,2021/07/31,to-read,to-read (#46),to-read,,,,0,0
11298,"A Wild Sheep Chase (The Rat, #3)",Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,"=""037571894X""","=""9780375718946""",0,3.94,Knopf Doubleday Publishing Group,Paperback,353,2002,1982,,2021/07/31,to-read,to-read (#45),to-read,,,,0,0
2195464,What I Talk About When I Talk About Running,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0307269191""","=""9780307269195""",0,3.87,Knopf Publishing Group,Hardcover,188,2008,2007,,2021/07/31,to-read,to-read (#44),to-read,,,,0,0
1554307,House to House: An Epic Memoir of War,David Bellavia,"Bellavia, David",John Bruning,"=""1416574719""","=""9781416574712""",0,4.31,Free Press,Hardcover,336,2007,2006,2021/07/31,2021/07/28,,,read,,,,1,0
23463279,Designing Data-Intensive Applications,Martin Kleppmann,"Kleppmann, Martin",,"=""""","=""""",0,4.71,O'Reilly,ebook,562,,2015,,2021/07/28,to-read,to-read (#43),to-read,,,,0,0
313998,Johnny Mnemonic,William Gibson,"Gibson, William",,"=""000224618X""","=""9780002246187""",0,3.78,HarperCollins,Hardcover,160,1996,1981,,2021/07/28,to-read,to-read (#42),to-read,,,,0,0
22323,"Burning Chrome (Sprawl, #0)",William Gibson,"Gibson, William",,"=""0060539828""","=""9780060539825""",0,4.06,Harper Voyager,Paperback,224,2003,1986,,2021/07/28,to-read,to-read (#41),to-read,,,,0,0
22200,"Count Zero (Sprawl, #2)",William Gibson,"Gibson, William",,"=""0441013678""","=""9780441013678""",0,4.02,Ace Books,Paperback,308,2006,1986,,2021/07/28,to-read,to-read (#40),to-read,,,,0,0
154091,"Mona Lisa Overdrive (Sprawl, #3)",William Gibson,"Gibson, William",,"=""0553281747""","=""9780553281743""",0,4.01,Bantam Spectra,Mass Market Paperback,308,1989,1988,,2021/07/28,to-read,to-read (#39),to-read,,,,0,0
8213592,Angel Island: Immigrant Gateway to America,Erika  Lee,"Lee, Erika",Judy Yung,"=""0199734089""","=""9780199734085""",0,3.94,Oxford University Press,Hardcover,432,2010,2010,,2021/07/28,to-read,to-read (#38),to-read,,,,0,0
885033,"At America's Gates: Chinese Immigration during the Exclusion Era, 1882-1943",Erika  Lee,"Lee, Erika",,"=""0807854484""","=""9780807854488""",0,4.05,The University of North Carolina Press,Paperback,348,2003,2003,,2021/07/28,to-read,to-read (#37),to-read,,,,0,0
44287174,America for Americans: A History of Xenophobia in the United States,Erika  Lee,"Lee, Erika",,"=""1541672607""","=""9781541672604""",0,4.35,Basic Books,Hardcover,432,2019,2019,,2021/07/28,to-read,to-read (#36),to-read,,,,0,0
23492717,The Making of Asian America: A History,Erika  Lee,"Lee, Erika",,"=""1476739404""","=""9781476739403""",0,4.33,Simon & Schuster,Hardcover,528,2015,2015,,2021/07/28,to-read,to-read (#35),to-read,,,,0,0
29238798,How Everything Became War and the Military Became Everything: Tales from the Pentagon,Rosa Brooks,"Brooks, Rosa",,"=""1476777861""","=""9781476777863""",0,3.94,Simon & Schuster,Hardcover,448,2016,2016,,2021/07/28,to-read,to-read (#34),to-read,,,,0,0
894123,The Pentagon Wars: Reformers Challenge the Old Guard,James G. Burton,"Burton, James G.",,"=""1557500819""","=""9781557500816""",0,4.34,Naval Inst Pr,Hardcover,306,1993,1993,,2021/07/28,to-read,to-read (#33),to-read,,,,0,0
4122,"Built to Last: Successful Habits of Visionary Companies (Good to Great, 2)",James C. Collins,"Collins, James C.","Jim Collins, Jerry I. Porras","=""0060566108""","=""9780060566104""",0,4.06,Harper Business,Hardcover,368,2004,1994,,2021/07/19,to-read,to-read (#32),to-read,,,,0,0
13055592,Redshirts,John Scalzi,"Scalzi, John",,"=""0765316994""","=""9780765316998""",0,3.86,Tor Books,Hardcover,320,2012,2012,,2021/07/19,to-read,to-read (#31),to-read,,,,0,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.18,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2021/07/19,to-read,to-read (#30),to-read,,,,0,0
2615,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,"Christensen, Clayton M.",,"=""0060521996""","=""9780060521998""",0,4.04,Collins,Paperback,320,2003,1997,,2021/07/19,to-read,to-read (#29),to-read,,,,0,0
55361205,A Promised Land,Barack Obama,"Obama, Barack",,"=""""","=""""",0,4.34,Crown,Kindle Edition,768,2020,2020,,2020/12/23,to-read,to-read (#28),to-read,,,,0,0
96491,Blackwater: The Rise of the World's Most Powerful Mercenary Army,Jeremy Scahill,"Scahill, Jeremy",,"=""1560259795""","=""9781560259794""",0,3.81,Nation Books,Hardcover,550,2007,2007,2021/07/18,2021/06/23,,,read,,,,1,0
73189,Christ and Culture (Torchbooks),H. Richard Niebuhr,"Niebuhr, H. Richard",,"=""0061300039""","=""9780061300035""",4,3.92,Harper & Row,Paperback,304,1975,1951,,2010/07/15,to-read,to-read (#27),to-read,,,,1,0
36510196,"Old Man's War (Old Man's War, #1)",John Scalzi,"Scalzi, John",,"=""""","=""""",0,4.23,Tor Books,Kindle Edition,318,2007,2005,,2021/01/03,,,read,,,,1,0
